ID,source,type,inclination,freq,qpo_rms,noise_rms,total_rms,freq_err,noise_err,total_err,number
95358-01-03-00,XTE J1859+226,C,high,2.792,13.0,20.1,23.9,"(0.007, 0.007)","(1.1, 1.2)","(1.0, 1.1)",421
95358-01-03-01,XTE J1859+226,C,high,3.197,11.1,21.7,24.4,"(0.01, 0.01)","(0.3, 0.3)","(0.3, 0.3)",422
30171-02-01-00,XTE J1748-288,C,high,31.555,3.3,6.1,10.2,"(0.128, 0.13)","(0.6, 0.7)","(0.5, 0.6)",423
30185-01-01-00,XTE J1748-288,C,high,31.401,3.3,7.0,10.4,"(0.102, 0.103)","(0.4, 0.3)","(0.4, 0.3)",424
30185-01-02-00,XTE J1748-288,C,high,23.652,4.2,14.9,16.3,"(0.092, 0.087)","(2.4, 2.1)","(2.2, 2.0)",425
30185-01-03-00,XTE J1748-288,C,high,20.053,8.0,9.8,14.8,"(0.042, 0.042)","(0.8, 0.8)","(0.8, 1.4)",426
30185-01-04-00,XTE J1748-288,C,high,19.872,8.6,13.7,17.6,"(0.059, 0.058)","(1.4, 1.3)","(1.1, 1.1)",427
30185-01-05-00,XTE J1748-288,C,high,22.819,7.1,12.8,14.6,"(0.13, 0.13)","(0.8, 0.8)","(0.7, 0.7)",428
30188-05-01-00,XTE J1748-288,C,high,17.157,9.8,14.7,17.7,"(0.047, 0.047)","(0.6, 0.5)","(0.5, 0.5)",429
70133-01-11-00,4U 1543-47,B,low,7.726,8.9,5.4,10.4,"(0.037, 0.04)","(0.2, 0.2)","(0.3, 0.3)",430
70133-01-15-00,4U 1543-47,B,low,8.015,7.6,11.2,13.5,"(0.03, 0.03)","(0.3, 0.4)","(0.3, 0.3)",431
70133-01-16-00,4U 1543-47,B,low,7.509,9.2,8.2,12.3,"(0.069, 0.079)","(0.5, 0.5)","(0.4, 0.4)",432
60113-01-15-00,XTE J1650-500,B,low,1.548,5.2,2.8,8.7,"(0.017, 0.017)","(0.3, 0.3)","(0.5, 0.5)",433
60705-01-84-02,GX 339-4,B,low,5.172,8.4,11.9,14.6,"(0.028, 0.028)","(1.1, 1.1)","(0.9, 0.9)",434
70108-03-02-00,GX 339-4,B,low,5.611,3.2,3.6,4.8,"(0.044, 0.039)","(0.2, 0.2)","(0.2, 0.2)",435
70109-01-07-00,GX 339-4,B,low,5.641,5.7,4.0,7.0,"(0.01, 0.011)","(0.1, 0.1)","(0.2, 0.2)",436
70110-01-14-00,GX 339-4,B,low,6.44,5.4,11.5,12.7,"(0.026, 0.027)","(0.4, 0.4)","(0.3, 0.3)",437
70110-01-15-00,GX 339-4,B,low,5.801,7.7,7.0,10.4,"(0.015, 0.015)","(0.8, 0.2)","(0.6, 0.2)",438
70110-01-47-00,GX 339-4,B,low,5.749,3.6,4.6,5.8,"(0.016, 0.016)","(0.4, 0.4)","(0.4, 0.4)",439
70110-01-89-00,GX 339-4,B,low,0.896,6.8,13.3,14.9,"(0.017, 0.017)","(2.7, 3.9)","(2.4, 3.5)",440
90110-02-01-03,GX 339-4,B,low,4.248,8.9,2.6,9.3,"(0.03, 0.031)","(0.2, 0.2)","(0.4, 0.4)",441
90704-01-02-00,GX 339-4,B,low,4.209,9.0,8.2,9.0,"(0.01, 0.01)","(0.1, 0.1)","(0.2, 0.2)",442
92035-01-04-00,GX 339-4,B,low,6.786,5.6,10.6,12.6,"(0.033, 0.034)","(0.4, 0.4)","(0.4, 0.5)",443
92085-01-03-01,GX 339-4,B,low,8.797,5.9,4.8,17.5,"(0.204, 0.185)","(1.9, 0.8)","(2.5, 1.3)",444
92704-03-10-11,GX 339-4,B,low,1.65,3.0,9.4,9.4,"(0.04, 0.04)","(0.6, 0.7)","(0.6, 0.7)",445
95409-01-15-02,GX 339-4,B,low,5.732,7.1,4.1,9.6,"(0.015, 0.015)","(0.2, 0.2)","(0.8, 0.8)",446
95409-01-15-06,GX 339-4,B,low,5.609,6.6,3.9,10.1,"(0.012, 0.012)","(0.3, 0.2)","(0.7, 2.2)",447
95409-01-16-05,GX 339-4,B,low,6.069,6.3,12.8,14.3,"(0.031, 0.033)","(0.3, 0.3)","(0.3, 0.3)",448
95409-01-17-00,GX 339-4,B,low,5.733,5.7,13.0,14.2,"(0.027, 0.027)","(0.6, 0.6)","(0.6, 0.6)",449
95409-01-17-05,GX 339-4,B,low,5.386,7.1,3.1,8.9,"(0.019, 0.019)","(0.2, 0.2)","(0.4, 0.5)",450
95409-01-17-06,GX 339-4,B,low,5.062,6.9,2.6,10.2,"(0.016, 0.016)","(0.4, 0.4)","(2.2, 1.7)",451
95409-01-18-00,GX 339-4,B,low,5.591,7.9,4.8,9.2,"(0.036, 0.036)","(0.3, 0.4)","(0.4, 0.4)",452
95409-01-18-05,GX 339-4,B,low,4.91,7.0,0,7.0,"(0.02, 0.02)","(0,0)","(0.2, 0.2)",453
95409-01-19-00,GX 339-4,B,low,4.697,6.2,0,6.2,"(0.018, 0.018)","(0,0)","(0.2, 0.2)",454
96409-01-04-04,GX 339-4,B,low,1.995,8.1,5.5,9.8,"(0.036, 0.036)","(1.0, 1.3)","(0.7, 0.8)",455
96409-01-05-02,GX 339-4,B,low,1.72,8.8,0,8.8,"(0.039, 0.039)","(0,0)","(0.7, 0.8)",456
95360-01-01-00,XTE J1752-3223,B,low,3.511,7.1,5.7,9.1,"(0.011, 0.011)","(0.4, 0.4)","(0.3, 0.3)",457
95360-01-01-02,XTE J1752-3223,B,low,4.118,4.1,7.2,7.2,"(0.313, 0.284)","(0.6, 0.7)","(0.6, 0.7)",458
91110-02-05-00,XTE J1118+480,B,low,5.439,2.9,3.5,4.5,"(0.025, 0.025)","(0.1, 0.1)","(0.1, 0.1)",459
91110-02-07-00,XTE J1118+480,B,low,5.427,2.9,3.5,4.5,"(0.015, 0.015)","(0.1, 0.1)","(0.1, 0.1)",460
91110-02-17-00,XTE J1118+480,B,low,4.858,2.4,2.4,3.4,"(0.068, 0.066)","(0.1, 0.1)","(0.1, 0.1)",461
91110-02-18-00,XTE J1118+480,B,low,5.06,3.0,3.0,4.2,"(0.034, 0.034)","(0.2, 0.3)","(0.2, 0.2)",462
91110-02-24-00,XTE J1118+480,B,low,5.328,2.5,3.7,4.4,"(0.047, 0.047)","(0.2, 0.3)","(0.2, 0.2)",463
91110-02-29-00,XTE J1118+480,B,low,5.682,8.4,6.4,10.6,"(0.031, 0.036)","(0.3, 0.4)","(0.3, 0.4)",464
91110-02-30-00,XTE J1118+480,B,low,5.614,7.8,7.1,10.5,"(0.013, 0.013)","(0.2, 0.2)","(0.2, 0.2)",465
92082-01-02-03,XTE J1118+480,B,low,4.847,6.8,2.3,7.2,"(0.013, 0.013)","(0.1, 0.1)","(0.2, 0.2)",466
92082-01-02-04,XTE J1118+480,B,low,4.977,7.6,4.5,8.8,"(0.016, 0.016)","(0.5, 0.6)","(0.4, 0.5)",467
40122-01-01-00,XTE 1859+226,B,intermediate,6.032,3.2,2.7,7.8,"(0.015, 0.015)","(0.2, 0.2)","(0.2, 0.2)",468
40122-01-01-02,XTE 1859+226,B,intermediate,6.047,3.6,3.0,8.2,"(0.018, 0.018)","(0.1, 0.1)","(0.2, 0.2)",469
40122-01-01-03,XTE 1859+226,B,intermediate,6.117,3.7,3.4,8.9,"(0.017, 0.018)","(0.1, 0.2)","(0.2, 0.2)",470
40124-01-13-00,XTE 1859+226,B,intermediate,6.102,3.1,3.1,7.7,"(0.012, 0.012)","(0.1, 0.1)","(0.7, 0.5)",471
40124-01-14-00,XTE 1859+226,B,intermediate,6.345,3.6,6.2,10.5,"(0.054, 0.054)","(0.6, 0.6)","(0.7, 0.7)",472
40124-01-24-00,XTE 1859+226,B,intermediate,5.815,4.6,4.7,10.5,"(0.0156, 0.0156)","(0.1, 0.1)","(0.6, 0.3)",473
40124-01-27-00,XTE 1859+226,B,intermediate,5.476,4.9,6.3,11.7,"(0.037, 0.038)","(0.4, 0.4)","(0.5, 0.5)",474
40124-01-30-00,XTE 1859+226,B,intermediate,5.031,5.0,2.2,8.7,"(0.016, 0.016)","(0.1, 0.2)","(0.3, 0.3)",475
40124-01-36-00,XTE 1859+226,B,intermediate,4.741,5.6,1.8,8.9,"(0.015, 0.01)","(0.1, 0.1)","(0.3, 0.3)",476
40124-01-37-00,XTE 1859+226,B,intermediate,4.822,5.2,1.9,5.6,"(0.025, 0.025)","(0.1, 0.1)","(0.2, 0.2)",477
40124-01-37-01,XTE 1859+226,B,intermediate,4.542,5.3,1.6,5.5,"(0.01, 0.01)","(0.1, 0.1)","(0.1, 0.1)",478
40124-01-37-02,XTE 1859+226,B,intermediate,4.455,4.2,1.7,8.5,"(0.006, 0.006)","(0.1, 0.1)","(0.5, 0.4)",479
40124-01-39-00,XTE 1859+226,B,intermediate,5.687,4.0,1.8,7.1,"(0.063, 0.063)","(0.2, 0.2)","(0.5, 0.5)",480
40124-01-40-00,XTE 1859+226,B,intermediate,5.292,3.5,0,3.5,"(0.085, 0.085)","(0,0)","(0.2, 0.2)",481
40124-01-40-01,XTE 1859+226,B,intermediate,5.244,3.6,0,8.5,"(0.067, 0.066)","(0,0)","(1.0, 1.0)",482
40124-01-41-00,XTE 1859+226,B,intermediate,4.744,2.3,2.7,3.5,"(0.047, 0.047)","(0.1, 0.1)","(0.1, 0.1)",483
40124-01-42-00,XTE 1859+226,B,intermediate,11.632,2.5,4.3,4.3,"(0.694, 0.694)","(0.3, 0.3)","(0.3, 0.3)",484
40124-01-49-01,XTE 1859+226,B,intermediate,5.202,3.2,3.3,4.6,"(0.08, 0.078)","(0.7, 0.7)","(0.5, 0.5)",485
40124-01-61-00,XTE 1859+226,B,intermediate,4.585,2.9,1.8,3.4,"(0.112, 0.106)","(0.2, 0.2)","(0.2, 0.2)",486
30191-01-32-00,XTE J1550-564,B,high,5.403,4.5,2.3,9.0,"(0.034, 0.034)","(0.2, 0.3)","(0.2, 0.2)",487
30191-01-34-01,XTE J1550-564,B,high,4.913,4.3,1.7,8.4,"(0.009, 0.009)","(0.1, 0.1)","(0.3, 0.3)",488
30191-01-41-00,XTE J1550-564,B,high,10.291,1.5,3.8,4.1,"(0.28, 0.28)","(0.1, 0.1)","(0.1, 0.1)",489
40401-01-50-00,XTE J1550-564,B,high,5.87,4.2,3.0,7.7,"(0.024, 0.024)","(0.1, 0.1)","(0.1, 0.1)",490
40401-01-51-00,XTE J1550-564,B,high,5.649,4.1,2.6,8.1,"(0.067, 0.067)","(0.1, 0.1)","(0.2, 0.2)",491
40401-01-51-01,XTE J1550-564,B,high,5.741,4.2,2.8,9.1,"(0.02, 0.02)","(0.2, 0.2)","(0.2, 0.3)",492
40401-01-53-00,XTE J1550-564,B,high,6.333,4.2,3.9,10.0,"(0.009, 0.009)","(0.1, 0.2)","(0.2, 0.3)",493
40401-01-55-00,XTE J1550-564,B,high,6.139,4.4,3.9,9.6,"(0.009, 0.009)","(0.2, 0.2)","(0.1, 0.1)",494
40401-01-56-00,XTE J1550-564,B,high,6.276,5.0,3.6,11.2,"(0.034, 0.035)","(0.2, 0.2)","(0.3, 0.3)",495
40401-01-56-01,XTE J1550-564,B,high,6.277,4.9,0,4.9,"(0.054, 0.054)","(0,0)","(0.2, 0.2)",496
40401-01-58-00,XTE J1550-564,B,high,5.673,5.2,2.4,10.0,"(0.045, 0.045)","(0.1, 0.1)","(0.3, 0.4)",497
40401-01-58-01,XTE J1550-564,B,high,3.11,4.9,9.3,13.9,"(0.02, 0.02)","(0.3, 0.3)","(0.2, 0.2)",498
40401-01-59-01,XTE J1550-564,B,high,5.757,3.9,0.8,8.2,"(0.104, 0.108)","(0.1, 0.2)","(0.4, 0.4)",499
40401-01-61-00,XTE J1550-564,B,high,5.486,3.9,0,7.5,"(0.099, 0.097)","(0,0)","(0.4, 0.4)",500
40401-01-61-01,XTE J1550-564,B,high,9.142,3.5,0,8.4,"(0.67, 0.67)","(0,0)","(1.0, 1.0)",501
50134-01-02-00,XTE J1550-564,B,high,3.58,8.9,3.7,13.4,"(0.013, 0.013)","(0.2, 0.2)","(0.7, 0.7)",502
50134-02-02-00,XTE J1550-564,B,high,4.421,6.7,3.9,10.2,"(0.012, 0.012)","(0.1, 0.1)","(0.3, 0.3)",503
30191-01-02-00,XTE J1550-564,B,high,4.94,0.3,7.1,7.2,"(0.028, 0.028)","(0.0, 0.0)","(0.0, 0.0)",504
70417-01-09-00,4U 1630-47,B,high,4.651,1.0,3.7,9.4,"(0.16, 0.16)","(0.1, 0.1)","(0.4, 0.4)",505
80117-01-05-00,4U 1630-47,B,high,4.663,2.2,11.1,13.4,"(0.058, 0.058)","(0.4, 0.4)","(0.4, 0.4)",506
80117-01-07-01,4U 1630-47,B,high,4.628,0.9,5.3,9.5,"(0.027, 0.028)","(0.2, 0.2)","(0.4, 0.4)",507
80117-01-07-02,4U 1630-47,B,high,4.532,0.8,8.5,8.8,"(0.021, 0.021)","(0.3, 0.3)","(0.2, 0.2)",508
80117-01-10-00,4U 1630-47,B,high,4.547,0.9,5.1,9.6,"(0.039, 0.038)","(0.2, 0.2)","(0.3, 0.3)",509
80417-01-01-00,4U 1630-47,B,high,4.835,1.7,11.4,13.6,"(0.063, 0.063)","(0.2, 0.2)","(0.3, 0.3)",510
10255-01-05-00,GRO J1655-40,B,high,10.635,1.7,6.2,6.6,"(0.085, 0.084)","(0.1, 0.1)","(0.1, 0.1)",511
10255-01-08-00,GRO J1655-40,B,high,9.221,1.6,4.6,8.1,"(0.114, 0.112)","(0.1, 0.1)","(0.1, 0.1)",512
91702-01-02-00G,GRO J1655-40,B,high,6.442,7.1,8.3,11.0,"(0.061, 0.061)","(0.4, 0.5)","(0.5, 0.5)",513
91702-01-58-00,GRO J1655-40,B,high,6.793,0.9,7.7,10.3,"(0.032, 0.032)","(0.5, 0.5)","(0.3, 0.4)",514
80135-02-02-00,H 1743-322,B,high,5.349,4.4,8.8,9.8,"(0.049, 0.04)","(0.4, 1.3)","(0.4, 1.1)",515
80135-02-02-000,H 1743-322,B,high,5.438,4.9,8.5,9.8,"(0.012, 0.012)","(0.4, 0.3)","(0.4, 0.2)",516
80135-02-02-01,H 1743-322,B,high,4.738,4.7,6.2,7.8,"(0.021, 0.021)","(0.2, 0.2)","(0.2, 0.2)",517
80144-01-01-00,H 1743-322,B,high,5.073,5.0,11.2,12.3,"(0.07, 0.071)","(0.4, 0.5)","(0.4, 0.5)",518
80144-01-01-01,H 1743-322,B,high,5.42,4.4,8.4,9.5,"(0.039, 0.039)","(0.3, 0.3)","(0.3, 0.3)",519
80144-01-01-02,H 1743-322,B,high,5.455,4.9,9.4,10.6,"(0.053, 0.051)","(0.4, 0.4)","(0.4, 0.4)",520
80144-01-02-00,H 1743-322,B,high,5.231,4.1,6.9,8.0,"(0.027, 0.027)","(0.2, 0.2)","(0.2, 0.2)",521
80144-01-02-01,H 1743-322,B,high,5.57,3.6,9.4,10.1,"(0.044, 0.044)","(0.3, 0.3)","(0.3, 0.3)",522
80144-01-03-01,H 1743-322,B,high,4.963,4.5,6.9,8.2,"(0.027, 0.027)","(0.3, 0.3)","(0.3, 0.3)",523
80146-01-11-00,H 1743-322,B,high,5.528,6.8,13.9,15.5,"(0.032, 0.032)","(0.4, 0.4)","(0.4, 0.4)",524
80146-01-12-00,H 1743-322,B,high,5.787,5.5,13.5,14.6,"(0.038, 0.038)","(0.4, 0.4)","(0.4, 0.4)",525
80146-01-15-00,H 1743-322,B,high,5.179,7.5,12.9,14.9,"(0.068, 0.068)","(0.8, 0.9)","(0.7, 0.8)",526
80146-01-16-00,H 1743-322,B,high,4.492,2.3,13.4,13.6,"(0.036, 0.035)","(0.5, 0.5)","(0.5, 0.5)",527
80146-01-26-00,H 1743-322,B,high,5.106,4.2,9.6,10.4,"(0.034, 0.034)","(0.3, 0.4)","(0.3, 0.4)",528
80146-01-27-00,H 1743-322,B,high,5.277,3.7,8.8,9.5,"(0.017, 0.017)","(0.2, 0.2)","(0.2, 0.2)",529
80146-01-48-00,H 1743-322,B,high,5.399,5.1,9.3,10.6,"(0.027, 0.027)","(0.2, 0.2)","(0.2, 0.2)",530
80146-01-49-00,H 1743-322,B,high,5.253,5.1,9.9,11.1,"(0.032, 0.031)","(0.5, 0.5)","(0.5, 0.5)",531
80146-01-51-00,H 1743-322,B,high,4.557,2.9,9.0,9.5,"(0.021, 0.021)","(0.2, 0.2)","(0.2, 0.2)",532
80146-01-51-01,H 1743-322,B,high,4.221,2.2,8.6,8.6,"(0.053, 0.05)","(0.2, 0.2)","(0.2, 0.2)",533
80146-01-52-00,H 1743-322,B,high,5.137,3.9,7.4,8.3,"(0.016, 0.016)","(0.1, 0.1)","(0.1, 0.1)",534
80146-01-52-01,H 1743-322,B,high,5.077,5.1,6.4,8.1,"(0.019, 0.019)","(0.1, 0.1)","(0.1, 0.1)",535
80146-01-53-00,H 1743-322,B,high,4.931,4.9,7.0,8.5,"(0.021, 0.021)","(0.2, 0.2)","(0.2, 0.2)",536
80146-01-53-01,H 1743-322,B,high,5.082,4.6,6.3,7.8,"(0.04, 0.04)","(0.3, 0.3)","(0.3, 0.3)",537
80146-01-54-00,H 1743-322,B,high,4.853,3.8,9.2,9.9,"(0.016, 0.016)","(0.3, 0.3)","(0.3, 0.3)",538
80146-01-55-00,H 1743-322,B,high,5.173,4.1,6.8,7.9,"(0.02, 0.02)","(0.2, 0.2)","(0.2, 0.2)",539
80146-01-56-00,H 1743-322,B,high,4.861,4.8,5.9,7.6,"(0.018, 0.018)","(0.2, 0.2)","(0.1, 0.1)",540
80146-01-58-00,H 1743-322,B,high,3.864,2.1,7.2,7.5,"(0.044, 0.044)","(0.1, 0.1)","(0.1, 0.1)",541
80146-01-59-00,H 1743-322,B,high,4.991,5.4,5.4,7.7,"(0.04, 0.04)","(0.5, 0.7)","(0.4, 0.5)",542
80146-01-60-00,H 1743-322,B,high,5.373,4.7,8.1,9.4,"(0.014, 0.014)","(0.1, 0.1)","(0.1, 0.1)",543
80146-01-62-00,H 1743-322,B,high,4.549,3.1,6.7,7.4,"(0.022, 0.022)","(0.2, 0.2)","(0.1, 0.1)",544
80146-01-65-00,H 1743-322,B,high,4.938,4.9,5.8,7.6,"(0.012, 0.012)","(0.1, 0.1)","(0.1, 0.1)",545
80146-01-66-00,H 1743-322,B,high,5.16,4.9,6.3,8.0,"(0.027, 0.027)","(0.2, 0.3)","(0.3, 0.3)",546
80146-01-67-00,H 1743-322,B,high,5.152,4.7,6.8,8.3,"(0.034, 0.03)","(0.3, 0.3)","(0.3, 0.4)",547
80146-01-68-00,H 1743-322,B,high,5.323,4.9,8.3,9.6,"(0.029, 0.029)","(0.7, 0.7)","(0.6, 0.6)",548
80146-01-69-00,H 1743-322,B,high,5.363,4.9,6.9,8.4,"(0.02, 0.02)","(0.4, 0.3)","(0.3, 0.2)",549
94413-01-03-02,H 1743-322,B,high,3.752,4.9,0,4.9,"(0.03, 0.03)","(0,0)","(0.2, 0.2)",550
94413-01-03-03,H 1743-322,B,high,3.728,5.1,5.1,5.1,"(0.022, 0.022)","(0.2, 0.2)","(0.2, 0.2)",551
95360-14-04-00,H 1743-322,B,high,3.563,5.5,2.8,6.2,"(0.014, 0.014)","(0.1, 0.1)","(0.1, 0.1)",552
95405-01-01-01,H 1743-322,B,high,1.608,3.8,4.0,5.5,"(0.043, 0.043)","(0.4, 0.5)","(0.4, 0.4)",553
95405-01-02-00,H 1743-322,B,high,1.939,6.9,5.8,6.9,"(0.035, 0.035)","(0.3, 0.3)","(0.4, 0.4)",554
95405-01-02-04,H 1743-322,B,high,2.346,6.1,0,6.1,"(0.062, 0.062)","(0,0)","(0.5, 0.5)",555
95405-01-02-05,H 1743-322,B,high,1.832,6.0,5.8,8.3,"(0.025, 0.025)","(1.0, 1.0)","(0.8, 0.8)",556
95108-01-27-00,MAXI J1659-15,B,high,3.888,4.7,6.0,7.7,"(0.013, 0.013)","(0.4, 0.4)","(0.3, 0.3)",557
95108-01-28-00,MAXI J1659-15,B,high,4.103,5.5,9.1,15.6,"(0.02, 0.02)","(0.6, 0.4)","(0.8, 0.8)",558
95118-01-01-01,MAXI J1659-15,B,high,3.857,5.8,6.1,8.4,"(0.016, 0.016)","(1.3, 0.9)","(0.9, 0.7)",559
95118-01-02-00,MAXI J1659-15,B,high,3.469,4.5,3.5,5.7,"(0.035, 0.034)","(0.3, 0.3)","(0.2, 0.2)",560
95118-01-07-00,MAXI J1659-15,B,high,3.287,6.4,7.3,9.7,"(0.015, 0.015)","(0.8, 0.8)","(0.6, 0.6)",561
95118-01-09-00,MAXI J1659-15,B,high,5.08,2.7,6.9,7.4,"(0.16, 0.16)","(0.4, 0.4)","(0.4, 0.4)",562
95118-01-10-00,MAXI J1659-15,B,high,3.564,6.1,9.5,11.3,"(0.017, 0.017)","(0.8, 0.9)","(0.7, 0.8)",563
95118-01-12-00,MAXI J1659-15,B,high,1.972,5.0,4.5,6.7,"(0.04, 0.04)","(0.6, 0.8)","(0.5, 0.6)",564
