ID,mjds,num_qpos,hardness,tins,disk_norm,gammas,nthcomp_norms,fit_stats,red_fit_stats,count_rates,bg_ratio,intensities
1050360103_0,58005.3035185,0,0.49739105829242497,0.200001,8073080.0,1.77742,8.97014,651.18,3.2397014925373133,2890.159712514333,3099.899694745647,2128.431947849626
1050360103_2,58005.4322454,0,0.49621073632178014,0.2,8148150.0,1.79006,9.23798,701.45,3.489800995024876,2878.7845506499934,1073.320477916302,2115.2918640160988
1050360104_0,58008.4558218,2,0.35768567645420746,0.200104,15899600.0,2.31965,40.3453,1202.71,5.98363184079602,7147.127582882888,3282.7068276017444,4996.869648337011
1050360104_11,58008.8012153,2,0.352358179299852,0.2,16498800.0,2.34019,43.2587,2559.12,12.731940298507462,7341.169003844777,3824.146832421283,5122.664338914127
1050360104_12,58008.8433218,2,0.35768211807681827,0.2,16666000.0,2.3147,40.5317,4360.46,21.693830845771146,7247.674185588316,2872.985780669177,5052.385030255979
1050360104_13,58008.9076852,2,0.36115477399567936,0.2,17032800.0,2.29473,38.5084,4744.59,23.60492537313433,7067.565970481805,2159.4327573099467,4919.086392782
1050360104_14,58008.971794,2,0.3537134471242101,0.2,16624700.0,2.33615,42.3721,4798.41,23.872686567164177,7385.092548796041,2661.1242249645925,5147.66784825814
1050360104_1,58008.5201852,1,0.35294905553827527,0.2,15605500.0,2.3378,41.4004,763.2,3.7970149253731345,7177.692318595436,5869.9144937971705,5016.204774016586
1050360104_5,58008.7328588,2,0.3482123521091027,0.2,15934300.0,2.36268,45.1161,3634.58,18.082487562189055,7604.337900663803,3607.6747771058363,5310.066095644312
1050360104_6,58008.7405324,2,0.3477435099730364,0.2,15754400.0,2.37116,45.8122,1412.35,7.026616915422885,7628.596078428363,4132.9233122063315,5331.878860378038
1050360104_7,58008.7781713,2,0.35489074552727157,0.2,16512100.0,2.32902,42.4247,960.35,4.777860696517413,7438.004219618141,7005.895986922556,5194.649408491818
1050360104_8,58008.779919,1,0.35280602526739496,0.2,16655300.0,2.33879,42.6455,1063.24,5.289751243781095,7397.2514564991225,4065.672282609634,5161.604351337532
1050360105_15,58009.1218634,2,0.34870118118611954,0.2,16379500.0,2.36322,45.8632,2367.31,11.777661691542288,7572.467633129024,1527.2642471834854,5281.496497959021
1050360105_16,58009.1646412,2,0.35910916035119606,0.200001,17369000.0,2.31241,41.4259,4675.9,23.263184079601988,7420.436718718242,2303.0801797666118,5171.366747824071
1050360105_18,58009.2289699,2,0.36526165972066005,0.2,17675900.0,2.27937,38.8838,5088.13,25.314079601990052,7251.127105560433,1486.299627586339,5053.167525673625
1050360105_26,58009.6779977,1,0.36044920473916847,0.2,17285800.0,2.30655,42.4441,1133.23,5.637960199004975,7630.754586101367,3115.3056126989604,5335.225997027196
1050360105_28,58009.8067593,2,0.38058124357203976,0.200001,18359700.0,2.20927,35.2349,4613.1,22.95074626865672,7119.100428382624,1650.0917032044229,4979.169041927947
1050360105_29,58009.8711343,2,0.3878883641035065,0.2,18528500.0,2.17196,32.5338,4745.71,23.61049751243781,6874.431007848364,2545.0308602654186,4808.02883262763
1050360105_2,58009.0391088,2,0.3502847335750467,0.2,16596600.0,2.3588,45.1731,1743.92,8.676218905472638,7501.649159181221,2110.03417024643,5229.619174142502
1050360105_4,58009.0634028,2,0.3485501113007045,0.2,16477800.0,2.36278,45.765,729.25,3.6281094527363185,7715.8044959920035,1804.809728539723,5382.604027631612
1050360106_0,58009.9998148,1,0.3896083205446472,0.2,18653400.0,2.16756,32.3137,5321.02,26.47273631840796,6860.966180864129,2380.7904199170616,4799.59910968305
1050360106_1,58010.0641898,1,0.38860393237490654,0.200061,18552600.0,2.17059,32.5576,5391.6,26.823880597014927,6893.771747681922,2281.150760717598,4818.628536390573
1050360106_3,58010.1926505,1,0.38919870987833755,0.2,18851700.0,2.16549,32.6693,5510.6,27.415920398009952,6955.40860565664,1738.3712517322774,4866.2850145272505
1050360106_4,58010.2570023,2,0.3909724798872425,0.2,18813800.0,2.15973,32.5246,5223.93,25.989701492537314,6966.860077216331,1745.4879880258145,4878.819798933242
1050360106_6,58010.3856944,1,0.3869022038496289,0.200003,18718000.0,2.1797,33.3888,5575.14,27.737014925373135,6992.7767880515585,1552.7991976459516,4886.648803228255
1050360106_8,58010.4567477,2,0.3785994634228202,0.2,18551900.0,2.21845,36.7286,2111.47,10.504825870646766,7331.030380174638,2365.8491292825465,5129.73840026296
1050360107_0,58011.8653241,2,0.3750828584484685,0.2,19773900.0,2.23343,40.9501,5685.62,28.286666666666665,8020.666525146589,2270.782346055805,5617.006613163129
1050360107_1,58011.9296991,2,0.3745997539740281,0.2,19971900.0,2.23593,41.9166,5629.89,28.00940298507463,8176.0534394280285,2130.709906098808,5732.039987805682
1050360108_4,58012.3799306,1,0.35322159283321164,0.2,18979900.0,2.33918,54.0586,560.72,2.7896517412935324,9276.623100974792,5184.922593981013,6523.897150019665
1050360109_10,58013.9882292,2,0.35763105819362057,0.2,20046400.0,2.32276,56.863,5478.53,27.25636815920398,9914.462707703233,3382.056752063058,6993.726779167052
1050360109_2,58013.3451736,1,0.3449564758709573,0.2,17263300.0,2.39913,68.2078,624.27,3.105820895522388,10749.387255872687,3509.6823241060115,7640.646193770929
1050360109_3,58013.3459722,2,0.34447985815997445,0.2,17558000.0,2.39779,67.5772,1254.67,6.242139303482587,10692.098011873451,2709.9487325956798,7586.031963670339
1050360109_5,58013.5457755,1,0.3464588167545987,0.2,18231600.0,2.38688,65.6896,1419.51,7.062238805970149,10553.71199577259,2473.066851116149,7470.974157128726
1050360109_8,58013.7308681,2,0.35308453497737924,0.2,19581400.0,2.35652,63.0365,633.51,3.1517910447761195,10513.245357261572,6196.446083788639,7433.3951735590235
1050360110_3,58014.6958796,2,0.3384999001999504,0.999999,0.1,3.18248,0.00359149,596.64,2.9832,11862.331033288116,2388.5550148729835,8450.015352179735
1050360110_5,58014.824375,1,0.3288957177496613,0.2,14643900.0,2.48818,90.9149,2506.25,12.468905472636816,12777.955126300196,4785.9050828290165,9146.972200014567
1050360110_6,58014.8266667,2,0.3301605942863663,0.2,14580300.0,2.48338,92.0627,8391.45,41.74850746268657,12982.116843269492,5041.001067949708,9307.228288937613
1050360112_3,58016.9472917,1,0.3154806353150234,0.2,8076200.0,2.57551,129.765,27431.52,136.475223880597,16175.310978686282,9629.082066019162,11739.708281546233
1050360113_1,58017.0759722,1,0.308784280272126,0.2,5336650.0,2.61719,138.893,37806.13,188.09019900497512,16468.11393353952,5740.973246465987,11969.805840186396
1050360113_4,58017.2688426,1,0.3066468460971497,0.2,4018460.0,2.63295,144.699,42727.22,212.57323383084577,16825.090742648732,4387.804831323914,12236.757919994661
1050360115_10,58019.4727431,0,0.2745926858636126,0.200999,149276.0,1.1,0.000736691,271.32,2.04,16255.537356760806,20519.421851883515,11729.614617120244
1050360115_12,58019.5372569,1,0.281293315561794,0.28233,0.1,2.81321,138.44,56648.8,281.8348258706468,16333.441881515517,10428.523204793615,11809.062922210289
1050360115_14,58019.602662,1,0.2807092331571002,0.278829,0.1,2.81503,139.187,54033.66,268.82417910447765,16255.358728370387,19131.38621416116,11741.509384005762
1050360115_15,58019.6688079,0,0.29890599759847775,0.2,1667740.0,2.68055,148.817,22493.75,111.9092039800995,16436.411137552976,10246.407699478177,11938.762309602318
1050360115_16,58019.6730556,0,0.29774388744665264,0.2,1160410.0,2.6874,149.667,9741.6,48.46567164179105,16399.48833413865,24500.61871495042,11914.284313058339
1050360115_17,58019.7336458,0,0.299322317535882,0.2,1300980.0,2.68216,149.033,18856.71,93.81447761194029,16418.683335142832,13395.467255578125,11929.029688942419
1050360115_18,58019.7372801,0,0.3002825111948391,0.2,1721880.0,2.67188,146.619,10300.12,51.24437810945274,16327.257649379268,9873.525132499231,11873.70621022545
1050360115_19,58019.8001852,0,0.29871930031478655,0.2,1250390.0,2.68303,151.031,19279.55,95.9181592039801,16609.70047839841,14624.604834262456,12079.959555065392
1050360115_20,58019.8661574,0,0.2821334805550156,0.280783,0.1,2.80857,138.595,12342.12,61.403582089552245,16341.163013782612,24514.93654249126,11821.345021178147
1050360115_3,58019.0699306,1,0.2748537026614121,0.327444,0.1,2.89594,131.563,83875.85,417.29278606965175,16480.843823450155,4247.275838806663,11903.201794646782
1050360116_0,58020.0518634,1,0.28271364032146196,0.260771,0.1,2.79239,140.736,59016.43,293.61407960199006,15995.270848783415,14839.346010705207,11552.164707016309
1050360116_1,58020.1160069,0,0.2969717555087339,0.200002,1246080.0,2.69507,148.983,49765.18,247.58796019900498,16205.431300558997,9118.106131270617,11755.968876566527
1050360116_2,58020.1801273,0,0.3015784823563158,0.200001,2624210.0,2.66586,145.319,48520.42,241.39512437810944,16317.451210313013,12105.720584594172,11852.567361254065
1050360116_3,58020.2447569,0,0.2837921269420453,0.249913,0.1,2.78659,144.135,60002.69,298.5208457711443,16004.795815063026,16115.186295084004,11559.425327699404
1050360117_3,58021.4018866,1,0.2759936558226275,0.294264,0.1,2.86387,134.648,77569.75,385.91915422885575,15759.373109513408,16945.288729116106,11349.418328881706
1050360117_4,58021.5969444,1,0.2728604100542371,0.314477,0.1,2.89748,129.736,63897.99,317.900447761194,15675.768023192995,20176.794999888065,11279.923658178774
1050360117_6,58021.7717361,1,0.277655121471026,0.263445,0.1,2.82244,138.555,68517.29,340.882039800995,15483.97496798076,9623.607606134929,11137.859442993093
1050360117_7,58021.9807755,0,0.27720762092447365,0.275971,0.1,2.83324,136.351,63129.54,314.0773134328358,15603.007436359128,13803.586599204351,11229.50203545495
1050360118_0,58022.237963,1,0.2725264386609,0.296851,0.1,2.88301,133.464,80764.57,401.81378109452737,15525.58275970875,16595.26379882908,11159.337718195582
1050360118_1,58022.4951273,0,0.29265888281208235,0.2,1113130.0,2.71523,145.354,58895.96,293.0147263681592,15539.365103293674,12701.357306179934,11235.094061716349
1050360118_3,58022.5537153,0,0.2997891826527228,0.200002,3188920.0,2.66612,139.021,3395.42,16.892636815920397,15672.54837390916,3234.6024263252843,11350.323708009031
1050360118_4,58022.8808333,0,0.2994938591325971,0.2,2656950.0,2.67567,139.762,52955.26,263.4590049751244,15569.956979131632,10302.778218015335,11284.775269145786
1050360118_5,58022.9292014,0,0.29901861902004157,0.2,2572320.0,2.67867,139.295,51143.02,254.4428855721393,15472.517907564505,10641.658872514874,11206.192933237342
1050360120_2,58020.6976505,0,0.28347973027305506,0.242402,0.1,2.78467,146.529,43939.27,218.60333333333332,16015.075681047241,10717.717294756603,11557.813609004601
1050360120_3,58020.7638079,1,0.27648280890910076,0.288637,0.1,2.84673,135.011,37293.24,185.53850746268657,15792.647066997612,13413.954504124404,11376.193864033525
1050360120_5,58020.8877546,0,0.2818369662481001,0.26169,0.1,2.79862,141.236,14145.0,70.3731343283582,15991.710303046792,11959.130946079078,11544.074886027554
1050360120_6,58020.8923495,0,0.282237361666524,0.248616,0.1,2.79016,143.995,35178.8,175.01890547263682,15908.953521604099,14501.929899915443,11483.323463256562
1050360120_7,58020.9519097,0,0.27943103591952595,0.277153,0.1,2.82619,138.115,70487.62,350.6846766169154,15912.119831430915,11109.791600372395,11479.228691392458
1130360103_1,58026.7465278,0,0.3022128305489402,0.2,4197410.0,2.65004,123.004,14333.01,71.30850746268656,14171.19717862443,6512.160138475828,10247.454128830817
1130360103_2,58026.7509606,0,0.3044213130021098,0.200002,3744490.0,2.64716,122.496,2645.71,13.16273631840796,14132.116320650424,6536.992776587646,10219.659902863546
1130360104_0,58027.7535648,2,0.3085422910891449,0.2,10862600.0,2.59847,93.4615,17510.31,87.11597014925374,11736.753062125115,3059.782825801737,8323.656471654103
1130360105_2,58028.7837153,2,0.30670321412492235,0.2,10635800.0,2.60169,92.3797,29583.2,147.18009950248756,11559.22475148735,5865.610662502074,8198.980524740471
1130360107_0,58030.7150463,2,0.31066674511008724,0.2,12243500.0,2.57614,78.7255,4728.78,23.526268656716418,10256.41466664812,4118.2426099488675,7216.411945008527
1130360107_11,58030.7797454,2,0.31247669897248065,0.2,12797700.0,2.56316,75.2567,1974.66,9.824179104477613,9973.522243513218,3136.710892227358,7006.096163486379
1130360107_12,58030.7824555,2,0.31333418317196116,0.2,12811100.0,2.56269,76.1437,845.05,4.204228855721393,10081.851452384491,5026.706571909872,7085.665538423725
1130360107_14,58030.7845089,2,0.31169664977691625,0.2,12587900.0,2.56771,76.4527,12559.98,62.48746268656716,10078.669259353785,5635.5278107190115,7084.031564299377
1130360107_15,58030.8552662,3,0.3030234264959303,0.2,9904290.0,2.62163,88.3148,13070.05,65.02512437810945,10851.695915482249,7172.868258177225,7675.304290610091
1130360107_6,58030.725544,2,0.3134187563734398,0.2,12576200.0,2.55745,76.126,1047.36,5.210746268656716,10127.847697348438,4512.1649905476725,7132.767060110885
1130360107_7,58030.7270139,2,0.3152480190584963,0.2,12992000.0,2.54733,74.9393,762.28,3.7924378109452737,10100.334489538387,8214.630195054704,7105.131704531444
1130360109_2,58032.3993056,0,0.274871992865077,0.2,0.1,2.808,123.03,45137.29,224.56363184079603,12105.620710658764,8785.169877425966,8643.696360504557
1130360109_5,58032.8377083,0,0.2850302726434773,0.2,2213810.0,2.74525,114.65,69899.05,347.75646766169154,12051.773340307805,7239.243284699942,8619.494680845835
1130360110_6,58033.8054051,0,0.2711933276540498,0.2,0.1,2.8298,122.369,74531.98,370.80587064676615,11807.948905796124,9398.324362085144,8398.392602596905
1130360111_0,58033.9991435,0,0.2740726578307026,0.200001,458576.0,2.81346,119.113,63954.47,318.1814427860697,11697.281635993691,9501.14388810125,8320.069105111663
1130360111_2,58034.1930903,0,0.2720829526573973,0.200001,111128.0,2.8257,119.819,63176.36,314.3102487562189,11629.592959776044,4725.0347140371505,8262.247814290915
1130360111_3,58034.3937731,0,0.26765770514519105,0.213126,0.1,2.84846,117.791,36782.58,182.9979104477612,11510.932464783238,9459.267282320965,8172.479690463871
1130360130_5,58136.4204514,0,0.11424336798365127,1.0,1040.7,4.0,1.85796,73222.05,420.81637931034487,2320.704240152736,2341.9263734694573,1401.6882650396558
1130360130_8,58136.7283565,0,0.11268619482220173,0.918051,2174.4,2.01059,7.83126e-16,246326.5,1289.6675392670156,2286.3960635596763,5290.216283260832,1377.9058705544965
1130360131_0,58137.1144792,0,0.11154244770264247,0.835258,3631.93,1.87861,5.75252e-16,161579.3,841.5588541666666,2281.293915729816,4671.265179282238,1374.230281272403
1130360131_2,58137.5651852,0,0.11256859884277438,0.917463,2173.33,1.15469,7.73777e-18,206268.9,1085.625789473684,2287.329305597827,2398.846771063156,1376.3236297540293
1130360131_4,58137.6939352,0,0.11137945832124757,0.833449,3658.82,2.25454,6.02442e-17,146498.1,783.4122994652407,2271.06618182419,2986.641034130076,1368.0867785826467
